region	layer	chamber	VFAT	reason_mask
M	1	8	22	1
M	1	8	23	1
M	1	9	3	1
M	1	9	7	1
M	1	9	13	1
M	1	9	15	1
M	1	9	16	1
M	1	9	17	1
M	1	9	19	1
M	1	9	21	1
M	1	9	22	1
M	1	9	23	1
M	1	10	0	1
M	1	10	1	1
M	1	10	2	1
M	1	10	3	1
M	1	10	4	1
M	1	10	5	1
M	1	10	6	1
M	1	10	7	1
M	1	10	14	1
M	1	10	15	1
M	1	10	16	1
M	1	10	17	1
M	1	10	20	1
M	1	10	21	1
M	1	10	22	1
M	1	10	23	1
M	1	11	3	1
M	1	11	4	1
M	1	11	5	1
M	1	11	6	1
M	1	11	7	1
M	1	11	11	1
M	1	11	12	1
M	1	11	15	1
M	1	11	16	1
M	1	11	18	1
M	1	11	19	1
M	1	11	20	1
M	1	11	21	1
M	1	11	22	1
M	1	11	23	1
M	1	12	0	1
M	1	12	1	1
M	1	12	2	1
M	1	12	3	1
M	1	12	6	1
M	1	12	7	1
M	1	12	11	1
M	1	12	14	1
M	1	12	15	1
M	1	12	16	1
M	1	12	17	1
M	1	12	18	1
M	1	12	19	1
M	1	12	21	1
M	1	12	22	1
M	1	12	23	1
M	1	13	4	1
M	1	13	5	1
M	1	13	6	1
M	1	13	7	1
M	1	13	11	1
M	1	13	12	1
M	1	13	14	1
M	1	13	18	1
M	1	13	19	1
M	1	13	20	1
M	1	13	21	1
M	1	13	23	1
M	1	14	0	1
M	1	14	2	1
M	1	14	3	1
M	1	14	5	1
M	1	14	6	1
M	1	14	7	1
M	1	14	10	1
M	1	14	11	1
M	1	14	14	1
M	1	14	15	1
M	1	14	16	1
M	1	14	17	1
M	1	14	18	1
M	1	14	19	1
M	1	14	21	1
M	1	14	22	1
M	1	14	23	1
M	1	15	0	1
M	1	15	1	1
M	1	15	3	1
M	1	15	4	1
M	1	15	5	1
M	1	15	6	1
M	1	15	7	1
M	1	15	16	1
M	1	15	19	1
M	1	15	20	1
M	1	15	21	1
M	1	15	23	1
M	1	16	1	1
M	1	16	2	1
M	1	16	5	1
M	1	16	6	1
M	1	16	7	1
M	1	16	10	1
M	1	16	11	1
M	1	16	13	1
M	1	16	14	1
M	1	16	15	1
M	1	16	16	1
M	1	16	17	1
M	1	16	19	1
M	1	16	20	1
M	1	16	21	1
M	1	16	22	1
M	1	16	23	1
M	1	17	2	1
M	1	17	3	1
M	1	17	6	1
M	1	17	7	1
M	1	17	11	1
M	1	17	12	1
M	1	17	15	1
M	1	17	19	1
M	1	17	21	1
M	1	17	22	1
M	1	17	23	1
M	1	18	0	1
M	1	18	1	1
M	1	18	2	1
M	1	18	3	1
M	1	18	5	1
M	1	18	6	1
M	1	18	7	1
M	1	18	9	1
M	1	18	10	1
M	1	18	11	1
M	1	18	12	1
M	1	18	13	1
M	1	18	14	1
M	1	18	15	1
M	1	18	16	1
M	1	18	17	1
M	1	18	18	1
M	1	18	19	1
M	1	18	20	1
M	1	18	21	1
M	1	18	22	1
M	1	18	23	1
M	1	19	3	1
M	1	19	6	1
M	1	19	11	1
M	1	19	12	1
M	1	19	13	1
M	1	19	14	1
M	1	19	15	1
M	1	19	17	1
M	1	19	19	1
M	1	19	22	1
M	1	19	23	1
M	1	20	0	1
M	1	20	1	1
M	1	20	2	1
M	1	20	3	1
M	1	20	5	1
M	1	20	6	1
M	1	20	7	1
M	1	20	9	1
M	1	20	10	1
M	1	20	11	1
M	1	20	14	1
M	1	20	15	1
M	1	20	16	1
M	1	20	17	1
M	1	20	18	1
M	1	20	19	1
M	1	20	20	1
M	1	20	22	1
M	1	20	23	1
M	1	21	7	1
M	1	21	19	1
M	1	21	21	1
M	1	22	0	1
M	1	22	2	1
M	1	22	3	1
M	1	22	4	1
M	1	22	5	1
M	1	22	6	1
M	1	22	7	1
M	1	22	10	1
M	1	22	11	1
M	1	22	14	1
M	1	22	16	1
M	1	22	17	1
M	1	22	19	1
M	1	22	20	1
M	1	22	21	1
M	1	22	22	1
M	1	22	23	1
M	1	23	1	1
M	1	23	6	1
M	1	23	12	1
M	1	23	13	1
M	1	23	16	1
M	1	23	17	1
M	1	23	18	1
M	1	23	19	1
M	1	23	22	1
M	1	25	0	1
M	1	25	1	1
M	1	25	2	1
M	1	25	3	1
M	1	25	6	1
M	1	25	7	1
M	1	25	9	1
M	1	25	11	1
M	1	25	12	1
M	1	25	13	1
M	1	25	14	1
M	1	25	15	1
M	1	25	16	1
M	1	25	17	1
M	1	25	18	1
M	1	25	19	1
M	1	25	20	1
M	1	25	21	1
M	1	25	22	1
M	1	25	23	1
M	1	26	0	1
M	1	26	1	1
M	1	26	2	1
M	1	26	3	1
M	1	26	4	1
M	1	26	5	1
M	1	26	6	1
M	1	26	7	1
M	1	26	8	1
M	1	26	10	1
M	1	26	11	1
M	1	26	12	1
M	1	26	13	1
M	1	26	14	1
M	1	26	15	1
M	1	26	16	1
M	1	26	17	1
M	1	26	18	1
M	1	26	19	1
M	1	26	20	1
M	1	26	21	1
M	1	26	22	1
M	1	26	23	1
M	1	27	0	1
M	1	27	4	1
M	1	27	11	1
M	1	27	12	1
M	1	27	13	1
M	1	27	16	1
M	1	27	17	1
M	1	27	21	1
M	1	27	22	1
M	1	28	0	1
M	1	28	1	1
M	1	28	2	1
M	1	28	3	1
M	1	28	4	1
M	1	28	5	1
M	1	28	6	1
M	1	28	7	1
M	1	28	10	1
M	1	28	11	1
M	1	28	13	1
M	1	28	14	1
M	1	28	15	1
M	1	28	16	1
M	1	28	17	1
M	1	28	18	1
M	1	28	19	1
M	1	28	20	1
M	1	28	21	1
M	1	28	22	1
M	1	28	23	1
M	1	29	0	1
M	1	29	1	1
M	1	29	2	1
M	1	29	3	1
M	1	29	4	1
M	1	29	5	1
M	1	29	6	1
M	1	29	7	1
M	1	29	8	1
M	1	29	9	1
M	1	29	10	1
M	1	29	11	1
M	1	29	12	1
M	1	29	13	1
M	1	29	14	1
M	1	29	15	1
M	1	29	16	1
M	1	29	17	1
M	1	29	18	1
M	1	29	19	1
M	1	29	20	1
M	1	29	21	1
M	1	29	22	1
M	1	29	23	1
M	1	30	0	1
M	1	30	1	1
M	1	30	3	1
M	1	30	7	1
M	1	30	9	1
M	1	30	10	1
M	1	30	11	1
M	1	30	14	1
M	1	30	15	1
M	1	30	16	1
M	1	30	17	1
M	1	30	19	1
M	1	30	21	1
M	1	30	22	1
M	1	30	23	1
M	1	31	7	1
M	1	31	11	1
M	1	31	22	1
M	1	31	23	1
M	1	32	0	1
M	1	32	1	1
M	1	32	2	1
M	1	32	3	1
M	1	32	5	1
M	1	32	6	1
M	1	32	7	1
M	1	32	9	1
M	1	32	10	1
M	1	32	11	1
M	1	32	13	1
M	1	32	14	1
M	1	32	15	1
M	1	32	16	1
M	1	32	17	1
M	1	32	18	1
M	1	32	19	1
M	1	32	20	1
M	1	32	21	1
M	1	32	22	1
M	1	32	23	1
M	1	33	1	1
M	1	33	4	1
M	1	33	5	1
M	1	33	6	1
M	1	33	7	1
M	1	33	10	1
M	1	33	11	1
M	1	33	16	1
M	1	33	17	1
M	1	33	18	1
M	1	33	19	1
M	1	33	20	1
M	1	33	23	1
M	1	34	0	1
M	1	34	1	1
M	1	34	2	1
M	1	34	4	1
M	1	34	5	1
M	1	34	6	1
M	1	34	7	1
M	1	34	9	1
M	1	34	10	1
M	1	34	11	1
M	1	34	14	1
M	1	34	15	1
M	1	34	16	1
M	1	34	17	1
M	1	34	18	1
M	1	34	19	1
M	1	34	20	1
M	1	34	21	1
M	1	34	22	1
M	1	34	23	1
M	1	36	0	1
M	1	36	1	1
M	1	36	2	1
M	1	36	3	1
M	1	36	4	1
M	1	36	5	1
M	1	36	6	1
M	1	36	7	1
M	1	36	8	1
M	1	36	9	1
M	1	36	10	1
M	1	36	11	1
M	1	36	12	1
M	1	36	13	1
M	1	36	14	1
M	1	36	15	1
M	1	36	16	1
M	1	36	17	1
M	1	36	18	1
M	1	36	19	1
M	1	36	20	1
M	1	36	21	1
M	1	36	22	1
M	1	36	23	1
M	2	1	0	1
M	2	1	1	1
M	2	1	2	1
M	2	1	3	1
M	2	1	4	1
M	2	1	5	1
M	2	1	6	1
M	2	1	7	1
M	2	1	8	1
M	2	1	9	1
M	2	1	10	1
M	2	1	11	1
M	2	1	12	1
M	2	1	13	1
M	2	1	14	1
M	2	1	15	1
M	2	1	16	1
M	2	1	17	1
M	2	1	18	1
M	2	1	19	1
M	2	1	20	1
M	2	1	21	1
M	2	1	22	1
M	2	1	23	1
M	2	2	0	1
M	2	2	1	1
M	2	2	2	1
M	2	2	3	1
M	2	2	4	1
M	2	2	5	1
M	2	2	6	1
M	2	2	7	1
M	2	2	8	1
M	2	2	9	1
M	2	2	10	1
M	2	2	11	1
M	2	2	12	1
M	2	2	13	1
M	2	2	14	1
M	2	2	15	1
M	2	2	16	1
M	2	2	17	1
M	2	2	18	1
M	2	2	19	1
M	2	2	20	1
M	2	2	21	1
M	2	2	22	1
M	2	2	23	1
M	2	3	0	1
M	2	3	1	1
M	2	3	2	1
M	2	3	3	1
M	2	3	4	1
M	2	3	5	1
M	2	3	6	1
M	2	3	7	1
M	2	3	8	1
M	2	3	9	1
M	2	3	10	1
M	2	3	11	1
M	2	3	12	1
M	2	3	13	1
M	2	3	14	1
M	2	3	15	1
M	2	3	16	1
M	2	3	17	1
M	2	3	18	1
M	2	3	19	1
M	2	3	20	1
M	2	3	21	1
M	2	3	22	1
M	2	3	23	1
M	2	4	3	1
M	2	4	5	1
M	2	4	6	1
M	2	4	7	1
M	2	4	8	1
M	2	4	9	1
M	2	4	10	1
M	2	4	11	1
M	2	4	14	1
M	2	4	17	1
M	2	4	18	1
M	2	4	19	1
M	2	4	20	1
M	2	4	21	1
M	2	4	22	1
M	2	4	23	1
M	2	5	3	1
M	2	5	4	1
M	2	5	6	1
M	2	5	7	1
M	2	5	12	1
M	2	5	15	1
M	2	5	19	1
M	2	5	20	1
M	2	5	22	1
M	2	6	1	1
M	2	6	2	1
M	2	6	3	1
M	2	6	4	1
M	2	6	5	1
M	2	6	6	1
M	2	6	7	1
M	2	6	8	1
M	2	6	11	1
M	2	6	13	1
M	2	6	14	1
M	2	6	15	1
M	2	6	16	1
M	2	6	17	1
M	2	6	18	1
M	2	6	19	1
M	2	6	20	1
M	2	6	21	1
M	2	6	22	1
M	2	6	23	1
M	2	7	1	1
M	2	7	3	1
M	2	7	4	1
M	2	7	6	1
M	2	7	7	1
M	2	7	12	1
M	2	7	19	1
M	2	7	20	1
M	2	7	21	1
M	2	7	22	1
M	2	7	23	1
M	2	8	0	1
M	2	8	1	1
M	2	8	2	1
M	2	8	3	1
M	2	8	5	1
M	2	8	6	1
M	2	8	7	1
M	2	8	8	1
M	2	8	10	1
M	2	8	11	1
M	2	8	14	1
M	2	8	15	1
M	2	8	16	1
M	2	8	17	1
M	2	8	18	1
M	2	8	19	1
M	2	8	20	1
M	2	8	21	1
M	2	8	22	1
M	2	8	23	1
M	2	9	2	1
M	2	9	3	1
M	2	9	11	1
M	2	9	13	1
M	2	9	15	1
M	2	9	23	1
M	2	10	0	1
M	2	10	1	1
M	2	10	3	1
M	2	10	5	1
M	2	10	6	1
M	2	10	7	1
M	2	10	8	1
M	2	10	10	1
M	2	10	11	1
M	2	10	14	1
M	2	10	15	1
M	2	10	16	1
M	2	10	17	1
M	2	10	18	1
M	2	10	19	1
M	2	10	21	1
M	2	10	22	1
M	2	10	23	1
M	2	11	2	1
M	2	11	5	1
M	2	11	6	1
M	2	11	17	1
M	2	12	0	1
M	2	12	6	1
M	2	12	16	1
M	2	12	22	1
M	2	12	23	1
M	2	13	3	1
M	2	13	5	1
M	2	13	7	1
M	2	13	11	1
M	2	13	12	1
M	2	13	13	1
M	2	13	14	1
M	2	13	17	1
M	2	13	19	1
M	2	13	21	1
M	2	13	22	1
M	2	13	23	1
M	2	14	0	1
M	2	14	1	1
M	2	14	2	1
M	2	14	3	1
M	2	14	4	1
M	2	14	5	1
M	2	14	6	1
M	2	14	7	1
M	2	14	8	1
M	2	14	9	1
M	2	14	10	1
M	2	14	11	1
M	2	14	12	1
M	2	14	13	1
M	2	14	14	1
M	2	14	15	1
M	2	14	16	1
M	2	14	17	1
M	2	14	18	1
M	2	14	19	1
M	2	14	20	1
M	2	14	21	1
M	2	14	22	1
M	2	14	23	1
M	2	15	3	1
M	2	15	6	1
M	2	15	11	1
M	2	15	14	1
M	2	15	15	1
M	2	15	19	1
M	2	15	21	1
M	2	15	22	1
M	2	16	0	1
M	2	16	1	1
M	2	16	2	1
M	2	16	3	1
M	2	16	5	1
M	2	16	6	1
M	2	16	7	1
M	2	16	14	1
M	2	16	15	1
M	2	16	16	1
M	2	16	17	1
M	2	16	18	1
M	2	16	21	1
M	2	16	22	1
M	2	16	23	1
M	2	17	0	1
M	2	17	1	1
M	2	17	4	1
M	2	17	6	1
M	2	17	7	1
M	2	17	12	1
M	2	17	13	1
M	2	17	17	1
M	2	17	19	1
M	2	17	20	1
M	2	18	0	1
M	2	18	1	1
M	2	18	2	1
M	2	18	3	1
M	2	18	5	1
M	2	18	6	1
M	2	18	7	1
M	2	18	8	1
M	2	18	10	1
M	2	18	11	1
M	2	18	12	1
M	2	18	14	1
M	2	18	15	1
M	2	18	16	1
M	2	18	17	1
M	2	18	18	1
M	2	18	19	1
M	2	18	20	1
M	2	18	21	1
M	2	18	22	1
M	2	18	23	1
M	2	19	11	1
M	2	20	0	1
M	2	20	1	1
M	2	20	3	1
M	2	20	5	1
M	2	20	6	1
M	2	20	7	1
M	2	20	9	1
M	2	20	10	1
M	2	20	11	1
M	2	20	12	1
M	2	20	14	1
M	2	20	15	1
M	2	20	16	1
M	2	20	17	1
M	2	20	18	1
M	2	20	19	1
M	2	20	21	1
M	2	20	22	1
M	2	20	23	1
M	2	21	12	1
M	2	21	16	1
M	2	21	22	1
M	2	22	0	1
M	2	22	1	1
M	2	22	2	1
M	2	22	3	1
M	2	22	5	1
M	2	22	6	1
M	2	22	7	1
M	2	22	9	1
M	2	22	10	1
M	2	22	11	1
M	2	22	12	1
M	2	22	13	1
M	2	22	14	1
M	2	22	15	1
M	2	22	16	1
M	2	22	17	1
M	2	22	18	1
M	2	22	19	1
M	2	22	20	1
M	2	22	21	1
M	2	22	22	1
M	2	22	23	1
M	2	23	0	1
M	2	23	1	1
M	2	23	2	1
M	2	23	3	1
M	2	23	4	1
M	2	23	5	1
M	2	23	6	1
M	2	23	7	1
M	2	23	8	1
M	2	23	9	1
M	2	23	10	1
M	2	23	11	1
M	2	23	12	1
M	2	23	13	1
M	2	23	14	1
M	2	23	15	1
M	2	23	16	1
M	2	23	17	1
M	2	23	18	1
M	2	23	19	1
M	2	23	20	1
M	2	23	21	1
M	2	23	22	1
M	2	23	23	1
M	2	24	10	1
M	2	24	21	1
M	2	24	22	1
M	2	24	23	1
M	2	25	0	1
M	2	25	1	1
M	2	25	2	1
M	2	25	3	1
M	2	25	4	1
M	2	25	5	1
M	2	25	6	1
M	2	25	7	1
M	2	25	8	1
M	2	25	9	1
M	2	25	10	1
M	2	25	11	1
M	2	25	12	1
M	2	25	13	1
M	2	25	14	1
M	2	25	15	1
M	2	25	16	1
M	2	25	17	1
M	2	25	18	1
M	2	25	19	1
M	2	25	20	1
M	2	25	21	1
M	2	25	22	1
M	2	25	23	1
M	2	26	1	1
M	2	26	2	1
M	2	26	3	1
M	2	26	4	1
M	2	26	5	1
M	2	26	6	1
M	2	26	7	1
M	2	26	8	1
M	2	26	10	1
M	2	26	12	1
M	2	26	13	1
M	2	26	14	1
M	2	26	15	1
M	2	26	16	1
M	2	26	17	1
M	2	26	18	1
M	2	26	19	1
M	2	26	20	1
M	2	26	21	1
M	2	26	22	1
M	2	26	23	1
M	2	27	1	1
M	2	27	3	1
M	2	27	5	1
M	2	27	6	1
M	2	27	7	1
M	2	27	11	1
M	2	27	12	1
M	2	27	13	1
M	2	27	14	1
M	2	27	18	1
M	2	27	19	1
M	2	27	20	1
M	2	27	22	1
M	2	28	0	1
M	2	28	1	1
M	2	28	2	1
M	2	28	3	1
M	2	28	6	1
M	2	28	7	1
M	2	28	11	1
M	2	28	14	1
M	2	28	16	1
M	2	28	17	1
M	2	28	21	1
M	2	28	22	1
M	2	28	23	1
M	2	29	7	1
M	2	29	10	1
M	2	29	11	1
M	2	29	12	1
M	2	29	15	1
M	2	29	17	1
M	2	29	18	1
M	2	29	19	1
M	2	29	20	1
M	2	29	21	1
M	2	29	22	1
M	2	29	23	1
M	2	30	0	1
M	2	30	1	1
M	2	30	2	1
M	2	30	3	1
M	2	30	6	1
M	2	30	7	1
M	2	30	8	1
M	2	30	14	1
M	2	30	15	1
M	2	30	16	1
M	2	30	17	1
M	2	30	19	1
M	2	30	22	1
M	2	30	23	1
M	2	31	0	1
M	2	31	1	1
M	2	31	4	1
M	2	31	5	1
M	2	31	6	1
M	2	31	7	1
M	2	31	11	1
M	2	31	13	1
M	2	31	14	1
M	2	31	15	1
M	2	31	16	1
M	2	31	17	1
M	2	31	18	1
M	2	31	20	1
M	2	31	21	1
M	2	31	22	1
M	2	31	23	1
M	2	32	0	1
M	2	32	1	1
M	2	32	2	1
M	2	32	3	1
M	2	32	4	1
M	2	32	5	1
M	2	32	6	1
M	2	32	7	1
M	2	32	9	1
M	2	32	11	1
M	2	32	14	1
M	2	32	16	1
M	2	32	17	1
M	2	32	18	1
M	2	32	19	1
M	2	32	21	1
M	2	32	22	1
M	2	32	23	1
M	2	33	2	1
M	2	33	3	1
M	2	33	5	1
M	2	33	6	1
M	2	33	7	1
M	2	33	11	1
M	2	33	13	1
M	2	33	15	1
M	2	33	16	1
M	2	33	17	1
M	2	33	18	1
M	2	33	20	1
M	2	33	21	1
M	2	33	22	1
M	2	33	23	1
M	2	34	3	1
M	2	34	6	1
M	2	34	7	1
M	2	34	10	1
M	2	34	11	1
M	2	34	14	1
M	2	34	15	1
M	2	34	16	1
M	2	34	17	1
M	2	34	18	1
M	2	34	19	1
M	2	34	20	1
M	2	34	21	1
M	2	34	22	1
M	2	35	6	1
M	2	35	15	1
M	2	35	16	1
M	2	35	19	1
M	2	35	22	1
M	2	36	0	1
M	2	36	1	1
M	2	36	2	1
M	2	36	3	1
M	2	36	6	1
M	2	36	7	1
M	2	36	11	1
M	2	36	14	1
M	2	36	16	1
M	2	36	17	1
M	2	36	18	1
M	2	36	19	1
M	2	36	22	1
M	2	36	23	1
P	1	1	11	1
P	1	1	12	1
P	1	1	13	1
P	1	1	22	1
P	1	2	0	1
P	1	2	1	1
P	1	2	2	1
P	1	2	3	1
P	1	2	4	1
P	1	2	5	1
P	1	2	6	1
P	1	2	7	1
P	1	2	8	1
P	1	2	9	1
P	1	2	10	1
P	1	2	11	1
P	1	2	12	1
P	1	2	13	1
P	1	2	14	1
P	1	2	15	1
P	1	2	16	1
P	1	2	17	1
P	1	2	18	1
P	1	2	19	1
P	1	2	20	1
P	1	2	21	1
P	1	2	22	1
P	1	2	23	1
P	1	3	13	1
P	1	3	19	1
P	1	4	0	1
P	1	4	1	1
P	1	4	2	1
P	1	4	3	1
P	1	4	5	1
P	1	4	6	1
P	1	4	7	1
P	1	4	9	1
P	1	4	10	1
P	1	4	11	1
P	1	4	13	1
P	1	4	14	1
P	1	4	15	1
P	1	4	16	1
P	1	4	17	1
P	1	4	18	1
P	1	4	19	1
P	1	4	20	1
P	1	4	21	1
P	1	4	22	1
P	1	4	23	1
P	1	5	3	1
P	1	5	6	1
P	1	5	11	1
P	1	5	13	1
P	1	5	14	1
P	1	5	19	1
P	1	5	20	1
P	1	5	22	1
P	1	5	23	1
P	1	6	0	1
P	1	6	1	1
P	1	6	2	1
P	1	6	3	1
P	1	6	4	1
P	1	6	5	1
P	1	6	6	1
P	1	6	7	1
P	1	6	9	1
P	1	6	11	1
P	1	6	12	1
P	1	6	13	1
P	1	6	14	1
P	1	6	15	1
P	1	6	16	1
P	1	6	17	1
P	1	6	18	1
P	1	6	19	1
P	1	6	20	1
P	1	6	21	1
P	1	6	22	1
P	1	6	23	1
P	1	7	0	1
P	1	7	3	1
P	1	7	4	1
P	1	7	6	1
P	1	7	7	1
P	1	7	8	1
P	1	7	11	1
P	1	7	12	1
P	1	7	13	1
P	1	7	14	1
P	1	7	15	1
P	1	7	16	1
P	1	7	17	1
P	1	7	18	1
P	1	7	19	1
P	1	7	20	1
P	1	7	21	1
P	1	7	22	1
P	1	7	23	1
P	1	8	0	1
P	1	8	1	1
P	1	8	2	1
P	1	8	3	1
P	1	8	6	1
P	1	8	7	1
P	1	8	10	1
P	1	8	11	1
P	1	8	14	1
P	1	8	15	1
P	1	8	16	1
P	1	8	17	1
P	1	8	19	1
P	1	8	20	1
P	1	8	21	1
P	1	8	22	1
P	1	8	23	1
P	1	9	3	1
P	1	9	14	1
P	1	9	15	1
P	1	9	19	1
P	1	9	23	1
P	1	10	0	1
P	1	10	1	1
P	1	10	2	1
P	1	10	3	1
P	1	10	4	1
P	1	10	5	1
P	1	10	6	1
P	1	10	7	1
P	1	10	8	1
P	1	10	11	1
P	1	10	14	1
P	1	10	15	1
P	1	10	16	1
P	1	10	17	1
P	1	10	18	1
P	1	10	19	1
P	1	10	20	1
P	1	10	21	1
P	1	10	22	1
P	1	10	23	1
P	1	12	6	1
P	1	12	7	1
P	1	12	10	1
P	1	12	14	1
P	1	12	16	1
P	1	12	18	1
P	1	12	19	1
P	1	12	22	1
P	1	12	23	1
P	1	13	0	1
P	1	13	1	1
P	1	13	2	1
P	1	13	3	1
P	1	13	4	1
P	1	13	5	1
P	1	13	6	1
P	1	13	7	1
P	1	13	11	1
P	1	13	13	1
P	1	13	14	1
P	1	13	15	1
P	1	13	16	1
P	1	13	18	1
P	1	13	19	1
P	1	13	20	1
P	1	13	21	1
P	1	13	22	1
P	1	13	23	1
P	1	14	0	1
P	1	14	1	1
P	1	14	2	1
P	1	14	3	1
P	1	14	4	1
P	1	14	6	1
P	1	14	7	1
P	1	14	8	1
P	1	14	9	1
P	1	14	10	1
P	1	14	11	1
P	1	14	12	1
P	1	14	15	1
P	1	14	16	1
P	1	14	17	1
P	1	14	22	1
P	1	14	23	1
P	1	15	0	1
P	1	15	3	1
P	1	15	5	1
P	1	15	6	1
P	1	15	7	1
P	1	15	10	1
P	1	15	11	1
P	1	15	12	1
P	1	15	14	1
P	1	15	15	1
P	1	15	16	1
P	1	15	18	1
P	1	15	19	1
P	1	15	20	1
P	1	15	21	1
P	1	15	22	1
P	1	15	23	1
P	1	16	14	1
P	1	16	17	1
P	1	17	5	1
P	1	17	6	1
P	1	17	11	1
P	1	17	12	1
P	1	17	13	1
P	1	17	14	1
P	1	17	16	1
P	1	17	17	1
P	1	18	0	1
P	1	18	1	1
P	1	18	2	1
P	1	18	3	1
P	1	18	4	1
P	1	18	5	1
P	1	18	6	1
P	1	18	7	1
P	1	18	10	1
P	1	18	12	1
P	1	18	13	1
P	1	18	14	1
P	1	18	15	1
P	1	18	16	1
P	1	18	17	1
P	1	18	18	1
P	1	18	19	1
P	1	18	20	1
P	1	18	21	1
P	1	18	22	1
P	1	18	23	1
P	1	19	3	1
P	1	19	4	1
P	1	19	5	1
P	1	19	6	1
P	1	19	7	1
P	1	19	11	1
P	1	19	12	1
P	1	19	13	1
P	1	19	14	1
P	1	19	16	1
P	1	19	19	1
P	1	19	20	1
P	1	19	21	1
P	1	19	22	1
P	1	19	23	1
P	1	20	0	1
P	1	20	1	1
P	1	20	14	1
P	1	20	17	1
P	1	21	0	1
P	1	21	1	1
P	1	21	2	1
P	1	21	3	1
P	1	21	4	1
P	1	21	5	1
P	1	21	6	1
P	1	21	7	1
P	1	21	9	1
P	1	21	10	1
P	1	21	11	1
P	1	21	15	1
P	1	21	16	1
P	1	21	17	1
P	1	21	18	1
P	1	21	19	1
P	1	21	21	1
P	1	21	22	1
P	1	21	23	1
P	1	22	1	1
P	1	22	3	1
P	1	22	6	1
P	1	22	7	1
P	1	22	11	1
P	1	22	14	1
P	1	22	15	1
P	1	22	16	1
P	1	22	17	1
P	1	22	21	1
P	1	22	22	1
P	1	22	23	1
P	1	23	3	1
P	1	23	4	1
P	1	23	6	1
P	1	23	11	1
P	1	23	13	1
P	1	23	15	1
P	1	23	16	1
P	1	23	19	1
P	1	23	20	1
P	1	23	23	1
P	1	24	0	1
P	1	24	1	1
P	1	24	2	1
P	1	24	3	1
P	1	24	4	1
P	1	24	6	1
P	1	24	7	1
P	1	24	11	1
P	1	24	15	1
P	1	24	16	1
P	1	24	17	1
P	1	24	18	1
P	1	24	19	1
P	1	24	20	1
P	1	24	21	1
P	1	24	22	1
P	1	24	23	1
P	1	25	5	1
P	1	25	6	1
P	1	25	7	1
P	1	25	11	1
P	1	25	13	1
P	1	25	14	1
P	1	25	15	1
P	1	25	21	1
P	1	25	22	1
P	1	25	23	1
P	1	26	0	1
P	1	26	1	1
P	1	26	2	1
P	1	26	3	1
P	1	26	4	1
P	1	26	5	1
